,GEO,SEX,AGE_M3,VALUE
4717,DE24C,T,TOTAL,67297.0
4718,DE24D,F,18-29,4375.0
4719,DE24D,F,30-39,3684.0
4720,DE24D,F,40+,26097.0
4721,DE24D,F,<18,5512.0
4722,DE24D,F,TOTAL,39668.0
4723,DE24D,M,18-29,4606.0
4724,DE24D,M,30-39,3631.0
4725,DE24D,M,40+,22431.0
4726,DE24D,M,<18,5708.0
4727,DE24D,M,TOTAL,36376.0
4728,DE24D,T,18-29,7358.0
4729,DE24D,T,30-39,7315.0
4730,DE24D,T,40+,48528.0
4731,DE24D,T,TOTAL,76044.0
4732,DE25,F,18-29,123027.0
4733,DE25,F,30-39,104668.0
4734,DE25,F,40+,501499.0
4735,DE25,F,<18,134396.0
4736,DE25,F,TOTAL,863590.0
4737,DE25,M,18-29,122480.0
4738,DE25,M,30-39,101429.0
4739,DE25,M,40+,450257.0
4740,DE25,M,<18,144541.0
4741,DE25,M,TOTAL,818707.0
4742,DE25,T,18-29,207705.0
4743,DE25,T,30-39,206097.0
4744,DE25,T,40+,951756.0
4745,DE25,T,TOTAL,1682297.0
4746,DE251,F,18-29,3054.0
4747,DE251,F,30-39,2342.0
4748,DE251,F,40+,12374.0
4749,DE251,F,<18,3161.0
4750,DE251,F,TOTAL,20931.0
4751,DE251,M,18-29,2825.0
4752,DE251,M,30-39,2196.0
4753,DE251,M,40+,10413.0
4754,DE251,M,<18,3126.0
4755,DE251,M,TOTAL,18560.0
4756,DE251,T,18-29,4919.0
4757,DE251,T,30-39,4538.0
4758,DE251,T,40+,22787.0
4759,DE251,T,TOTAL,39491.0
4760,DE252,F,18-29,10044.0
4761,DE252,F,30-39,6863.0
4762,DE252,F,40+,28083.0
4763,DE252,F,<18,8017.0
4764,DE252,F,TOTAL,53007.0
4765,DE252,M,18-29,10322.0
4766,DE252,M,30-39,7718.0
4767,DE252,M,40+,24584.0
4768,DE252,M,<18,8089.0
4769,DE252,M,TOTAL,50713.0
4770,DE252,T,18-29,18146.0
4771,DE252,T,30-39,14581.0
4772,DE252,T,40+,52667.0
4773,DE252,T,TOTAL,103720.0
4774,DE253,F,18-29,9087.0
4775,DE253,F,30-39,8385.0
4776,DE253,F,40+,33657.0
4777,DE253,F,<18,8804.0
4778,DE253,F,TOTAL,59933.0
4779,DE253,M,18-29,7865.0
4780,DE253,M,30-39,7560.0
4781,DE253,M,40+,30481.0
4782,DE253,M,<18,9774.0
4783,DE253,M,TOTAL,55680.0
4784,DE253,T,18-29,14493.0
4785,DE253,T,30-39,15945.0
4786,DE253,T,40+,64138.0
4787,DE253,T,TOTAL,115613.0
4788,DE254,F,18-29,40362.0
4789,DE254,F,30-39,34474.0
4790,DE254,F,40+,143869.0
4791,DE254,F,<18,34468.0
4792,DE254,F,TOTAL,253173.0
4793,DE254,M,18-29,37458.0
4794,DE254,M,30-39,32952.0
4795,DE254,M,40+,124522.0
4796,DE254,M,<18,38209.0
4797,DE254,M,TOTAL,233141.0
4798,DE254,T,18-29,68673.0
4799,DE254,T,30-39,67426.0
4800,DE254,T,40+,268391.0
4801,DE254,T,TOTAL,486314.0
4802,DE255,F,18-29,2540.0
4803,DE255,F,30-39,2306.0
4804,DE255,F,40+,12009.0
4805,DE255,F,<18,3163.0
4806,DE255,F,TOTAL,20018.0
4807,DE255,M,18-29,2440.0
4808,DE255,M,30-39,2076.0
4809,DE255,M,40+,10469.0
4810,DE255,M,<18,3466.0
4811,DE255,M,TOTAL,18451.0
4812,DE255,T,18-29,4133.0
4813,DE255,T,30-39,4382.0
4814,DE255,T,40+,22478.0
4815,DE255,T,TOTAL,38469.0
4816,DE256,F,18-29,12099.0
4817,DE256,F,30-39,10087.0
4818,DE256,F,40+,51711.0
4819,DE256,F,<18,15984.0
4820,DE256,F,TOTAL,89881.0
4821,DE256,M,18-29,13148.0
4822,DE256,M,30-39,9951.0
4823,DE256,M,40+,48291.0
4824,DE256,M,<18,17083.0
4825,DE256,M,TOTAL,88473.0
4826,DE256,T,18-29,20500.0
4827,DE256,T,30-39,20038.0
4828,DE256,T,40+,100002.0
4829,DE256,T,TOTAL,178354.0
4830,DE257,F,18-29,8471.0
4831,DE257,F,30-39,7575.0
4832,DE257,F,40+,38558.0
4833,DE257,F,<18,11248.0
4834,DE257,F,TOTAL,65852.0
4835,DE257,M,18-29,8894.0
4836,DE257,M,30-39,7341.0
4837,DE257,M,40+,36124.0
4838,DE257,M,<18,12184.0
4839,DE257,M,TOTAL,64543.0
4840,DE257,T,18-29,14236.0
4841,DE257,T,30-39,14916.0
4842,DE257,T,40+,74682.0
4843,DE257,T,TOTAL,130395.0
4844,DE258,F,18-29,6968.0
4845,DE258,F,30-39,6435.0
4846,DE258,F,40+,35648.0
4847,DE258,F,<18,9046.0
4848,DE258,F,TOTAL,58097.0
4849,DE258,M,18-29,7122.0
4850,DE258,M,30-39,6051.0
4851,DE258,M,40+,31871.0
4852,DE258,M,<18,9645.0
4853,DE258,M,TOTAL,54689.0
4854,DE258,T,18-29,11505.0
4855,DE258,T,30-39,12486.0
4856,DE258,T,40+,67519.0
4857,DE258,T,TOTAL,112786.0
4858,DE259,F,18-29,9992.0
4859,DE259,F,30-39,9045.0
4860,DE259,F,40+,51716.0
4861,DE259,F,<18,13299.0
4862,DE259,F,TOTAL,84052.0
4863,DE259,M,18-29,10373.0
4864,DE259,M,30-39,8579.0
4865,DE259,M,40+,46835.0
4866,DE259,M,<18,14128.0
4867,DE259,M,TOTAL,79915.0
4868,DE259,T,18-29,16528.0
4869,DE259,T,30-39,17624.0
4870,DE259,T,40+,98551.0
4871,DE259,T,TOTAL,163967.0
4872,DE25A,F,18-29,6432.0
4873,DE25A,F,30-39,5295.0
4874,DE25A,F,40+,29064.0
4875,DE25A,F,<18,8520.0
4876,DE25A,F,TOTAL,49311.0
4877,DE25A,M,18-29,7050.0
4878,DE25A,M,30-39,5215.0
4879,DE25A,M,40+,26923.0
4880,DE25A,M,<18,8976.0
4881,DE25A,M,TOTAL,48164.0
4882,DE25A,T,18-29,10946.0
4883,DE25A,T,30-39,10510.0
4884,DE25A,T,40+,55987.0
4885,DE25A,T,TOTAL,97475.0
4886,DE25B,F,18-29,8032.0
4887,DE25B,F,30-39,6948.0
4888,DE25B,F,40+,36836.0
4889,DE25B,F,<18,10772.0
4890,DE25B,F,TOTAL,62588.0
4891,DE25B,M,18-29,8441.0
4892,DE25B,M,30-39,6761.0
4893,DE25B,M,40+,34171.0
4894,DE25B,M,<18,11383.0
4895,DE25B,M,TOTAL,60756.0
4896,DE25B,T,18-29,13430.0
4897,DE25B,T,30-39,13709.0
4898,DE25B,T,40+,71007.0
4899,DE25B,T,TOTAL,123344.0
4900,DE25C,F,18-29,5946.0
4901,DE25C,F,30-39,4913.0
4902,DE25C,F,40+,27974.0
4903,DE25C,F,<18,7914.0
4904,DE25C,F,TOTAL,46747.0
4905,DE25C,M,18-29,6542.0
4906,DE25C,M,30-39,5029.0
4907,DE25C,M,40+,25573.0
4908,DE25C,M,<18,8478.0
4909,DE25C,M,TOTAL,45622.0
4910,DE25C,T,18-29,10196.0
4911,DE25C,T,30-39,9942.0
4912,DE25C,T,40+,53547.0
